KO_EC_NUMBER	Silhouette_Index
K00508-[EC:1.14.19.3]	0.08
K00194-[EC:2.1.1.245]	0.25
K00626-[EC:2.3.1.9]	0.05
K07102-[EC:2.7.1.221]	0.17
K17248-[EC:2.4.1.291]	0.13
K09883-[EC:6.6.1.2]	0.03
K01756-[EC:4.3.2.2]	0.03
K13933-[EC:4.1.1.87]	0.16
K06162-[EC:3.6.1.63]	0.17
K20962-[EC:3.1.4.52]	0.05
K00112-[EC:1.1.5.3]	0.18
K21617-[EC:5.1.1.22]	0.26
K03526-[EC:1.17.7.3]	0.11
K14468-[EC:1.2.1.75]	0.35
K18896-[EC:2.1.1.156]	0.05
K07104-[EC:1.13.11.2]	0.04
K19974-[EC:5.1.3.35]	0.14
K01745-[EC:4.3.1.3]	0.04
K19967-[EC:4.1.2.42]	0.26
K19511-[EC:1.11.1.7]	0.04
K05973-[EC:3.1.1.75]	0.1
K01475-[EC:3.5.2.20]	0.03
K01467-[EC:3.5.2.6]	-0.04
K00675-[EC:2.3.1.118]	-0.0
K22481-[EC:1.8.7.3]	0.23
K16901-[EC:1.14.14.9]	-0.1
K07407-[EC:3.2.1.22]	-0.02
K07701-[EC:2.7.13.3]	0.14
K13542-[EC:4.2.1.75]	0.23
K10548-[EC:3.6.3.17]	0.08
K15891-[EC:1.1.1.354]	0.36
K00472-[EC:1.14.11.2]	0.07
K17485-[EC:2.3.2.22]	0.12
K08967-[EC:1.13.11.53]	0.16
K21278-[EC:3.1.3.48]	0.51
K10011-[EC:1.1.1.305]	0.03
K06928-[EC:3.6.1.15]	0.01
K14259-[EC:4.2.1.141]	0.04
K02809-[EC:2.7.1.211]	0.01
K06180-[EC:5.4.99.23]	0.03
K00401-[EC:2.8.4.1]	0.13
K03737-[EC:1.2.7.1]	0.03
K01637-[EC:4.1.3.1]	0.22
K02377-[EC:1.1.1.271]	0.05
K13686-[EC:2.4.2.46]	0.27
K14596-[EC:2.4.1.276]	0.06
K10797-[EC:1.3.1.31]	0.05
K00174-[EC:1.2.7.3]	0.1
K23149-[EC:3.1.1.104]	0.13
K03574-[EC:3.6.1.55]	0.01
K01679-[EC:4.2.1.2]	0.03
K01814-[EC:5.3.1.16]	0.07
K01919-[EC:6.3.2.2]	0.05
K08693-[EC:3.1.3.5]	0.31
K19405-[EC:2.7.14.1]	0.06
K04128-[EC:2.1.3.7]	-0.03
K11691-[EC:2.7.13.3]	0.09
K00808-[EC:2.5.1.44]	0.11
K01854-[EC:5.4.99.9]	0.16
K00556-[EC:2.1.1.34]	0.46
K11889-[EC:2.7.11.1]	-0.06
K06045-[EC:4.2.1.129]	0.01
K00141-[EC:1.2.1.28]	0.1
K01683-[EC:4.2.1.5]	-0.1
K18330-[EC:1.12.1.3]	0.07
K18286-[EC:3.5.4.40]	0.05
K01801-[EC:5.2.1.4]	0.12
K00263-[EC:1.4.1.9]	0.01
K02336-[EC:2.7.7.7]	0.12
K23265-[EC:6.3.5.3]	-0.0
K01462-[EC:3.5.1.88]	0.04
K03763-[EC:2.7.7.7]	0.15
K03778-[EC:1.1.1.28]	0.32
K21349-[EC:2.4.1.268]	0.07
K00867-[EC:2.7.1.33]	0.11
